file_name,time,ent_count,sims_count,repetition
Betrug mit Polizisten-Trick_ Bankerin rettet für Seniorin 12.000 Euro _ Regional _ BILD.de.pdf,2.102654099999995,3,0,1
Blutbad bei Lauben-Einbruch_ Klein-Ganove prügelt Polizistin fast tot _ Regional _ BILD.de.pdf,2.8865842999999813,7,8,1
Dealer waren bewaffnet_ Kripo sprengt Rauschgift-Ring _ Regional _ BILD.de.pdf,2.513802499999997,7,8,1
"Der Nächste, bitte! Ex-Bürgermeister aus Homburg muss vor Gericht _ Regional _ BILD.de.pdf",3.1746475000000487,8,20,1
Dresden_ Mann niedergestochen_ 20-Jähriger wegen versuchten Mordes angeklagt _ Regional _ BILD.de.pdf,3.949479399999973,6,12,1
Düsseldorf_ Versuchter Totschlag! Angeklagter vom SEK zum Prozess gebracht _ Regional _ BILD.de.pdf,6.78598999999997,16,60,1
Er tötete drei Frauen_ Messerstecher von Würzburg kommt in die Psychiatrie _ Regional _ BILD.de.pdf,3.2285631999999964,9,22,1
Essen_ Oberarzt soll Corona-Kranken totgespritzt haben - Anwalt bestreitet _ Regional _ BILD.de.pdf,12.575543299999993,18,108,1
Flüchtling vor Gericht_ Prozess um Mord an obdachloser Frau _ Regional _ BILD.de.pdf,5.658695299999977,12,48,1
Freibad Steinrausch_ Lebloser Junge (5) aus Schwimmbecken gerettet _ Regional _ BILD.de.pdf,7.8427462999999875,8,8,1
Generalbundesanwalt klagt ISIS-Braut Leonora M. an _ Regional _ BILD.de.pdf,8.793017200000008,22,118,1
Gib G(r)as!_ Polizei schnappt zugedröhnten Rasenmäher-Tuner (26) _ Regional _ BILD.de.pdf,2.4943706000000248,6,8,1
Halle_ Mutmaßliches Drogen-Quartett vor Gericht _ Regional _ BILD.de.pdf,11.438292400000023,18,152,1
In der Pfalz_ Suff-Fahrer zerlegen ihre Autos _ Regional _ BILD.de.pdf,5.033931499999994,8,42,1
Mia (6) und Lio (3) erstickt_ Mord-Anklage gegen Mutter Johanna E.! _ Regional _ BILD.de.pdf,11.862427700000012,19,160,1
Mönchengladbach_ Mann und Frau nach Bluttat auf Feldweg festgenommen _ Regional _ BILD.de.pdf,4.063328000000013,12,28,1
Neonazi-Aktion in Dortmund_ Polizei durfte Ex-Feuerwehrchef nicht durchsuchen _ Regional _ BILD.de.pdf,13.094299699999965,19,112,1
Passant schwer verletzt_ Polizei jagt skrupellosen Raser _ Regional _ BILD.de.pdf,7.826963300000045,19,82,1
Prozess gegen den Kannibalen von Pankow beginnt am 10. August! _ Regional _ BILD.de.pdf,7.134970599999974,15,80,1
Prozess gegen mutmaßlichen Todesschützen_ Waffen-Arsenal in Geister-Villa _ Regional _ BILD.de.pdf,3.7535823999999707,7,20,1
Prozess in Mönchengladbach_ Rentner raste betrunken in Spielmannszug _ Regional _ BILD.de.pdf,3.0499615999999605,7,12,1
Prozess vor Berliner Landgericht - Kumpel mit Stahlkappen-Schuhen fast zu Tode getreten_  _ Regional _ BILD.de.pdf,6.793730900000014,15,68,1
Samuel Yeboah starb 1991 bei Brandanschlag_ Plakate erinnern an ermordeten Flüchtling _ Regional _ BILD.de.pdf,4.702191599999992,17,56,1
Sie überfielen einen Juwelier_ Diese Polizisten sind Räuber und Gendarm _ Regional _ BILD.de.pdf,4.350943499999971,12,28,1
Solingen_ Wurde Todesmutter Christiane K. von ihrem Vater missbraucht_ _ Regional _ BILD.de.pdf,9.034246399999972,17,116,1
Stadtbibliothek München_ OB Reiters Machtwort gegen das Sitzverbot! _ Regional _ BILD.de.pdf,6.576617800000008,16,66,1
Stadtbibliothek Sendling_ Sitz-Verbots-PCs sind plötzlich kaputt! _ Regional _ BILD.de.pdf,2.680812700000047,8,8,1
Wegen anzügliche Kommentare_ 23-Jähriger sticht Mann (40) nieder _ Regional _ BILD.de.pdf,2.5688003999999864,6,8,1
"Wegen Drogen, Waffen und Nötigung_ Rocker-Trio in Bochum vor Gericht _ Regional _ BILD.de.pdf",5.244516299999987,10,56,1
Weil er mit Drogen handelte_ Knast für Ex-Club-Vize _ Regional _ BILD.de.pdf,4.144712900000002,9,42,1
400 Fälle vor Ulmer Gericht_ 45-Jähriger gesteht sexuellen Missbrauch _ Regional _ BILD.de.pdf,2.0067306999999914,3,0,2
Aachen_ Arbeiter (37) erstach Bekannten (45) auf einem Feldweg _ Regional _ BILD.de.pdf,3.2511738999999693,9,12,2
Al-Zein-Clan_ Sohn nach Razzia in Leverkusen wieder auf freiem Fuß _ Regional _ BILD.de.pdf,8.045553999999981,20,90,2
Berlin-Prozess_ Nachbar mit Hammer erschlagen und Leiche zerteilt – Angeklagter gesteht _ Regional _ BILD.de.pdf,3.2740739999999846,7,8,2
Berlin_ Trotz Knast-Urteil – Richter entlässt gefährlichen Dauer-Raser aus U-Haft _ Regional _ BILD.de.pdf,19.28272480000004,21,222,2
Betrug mit Polizisten-Trick_ Bankerin rettet für Seniorin 12.000 Euro _ Regional _ BILD.de.pdf,2.125810700000045,3,0,2
Blutbad bei Lauben-Einbruch_ Klein-Ganove prügelt Polizistin fast tot _ Regional _ BILD.de.pdf,2.868613900000014,7,8,2
Dealer waren bewaffnet_ Kripo sprengt Rauschgift-Ring _ Regional _ BILD.de.pdf,2.4695118999999863,7,8,2
"Der Nächste, bitte! Ex-Bürgermeister aus Homburg muss vor Gericht _ Regional _ BILD.de.pdf",3.1177946999999904,8,20,2
Dresden_ Mann niedergestochen_ 20-Jähriger wegen versuchten Mordes angeklagt _ Regional _ BILD.de.pdf,3.880260700000008,6,12,2
Düsseldorf_ Versuchter Totschlag! Angeklagter vom SEK zum Prozess gebracht _ Regional _ BILD.de.pdf,6.767824500000074,16,60,2
Er tötete drei Frauen_ Messerstecher von Würzburg kommt in die Psychiatrie _ Regional _ BILD.de.pdf,3.076616299999955,9,22,2
Essen_ Oberarzt soll Corona-Kranken totgespritzt haben - Anwalt bestreitet _ Regional _ BILD.de.pdf,12.8481483999999,18,108,2
Flüchtling vor Gericht_ Prozess um Mord an obdachloser Frau _ Regional _ BILD.de.pdf,5.858688099999995,12,48,2
Freibad Steinrausch_ Lebloser Junge (5) aus Schwimmbecken gerettet _ Regional _ BILD.de.pdf,7.907890800000018,8,8,2
